instant,dteday,hr,weathersit,temp,hum,windspeed,cnt_x,season,yr,mnth,holiday,weekday,workingday,cnt_y
49,2011-01-03,01:00:00,Clear/Partly Cloudy,8.200000000000001,44.0,27.999299999999998,2,Spring,2011,January,0,Monday,1,1349
50,2011-01-03,04:00:00,Clear/Partly Cloudy,6.5600000000000005,47.0,26.0027,1,Spring,2011,January,0,Monday,1,1349
51,2011-01-03,05:00:00,Clear/Partly Cloudy,6.5600000000000005,47.0,19.0012,3,Spring,2011,January,0,Monday,1,1349
52,2011-01-03,06:00:00,Clear/Partly Cloudy,5.74,50.0,26.0027,30,Spring,2011,January,0,Monday,1,1349
53,2011-01-03,07:00:00,Clear/Partly Cloudy,5.74,50.0,12.998000000000001,64,Spring,2011,January,0,Monday,1,1349
54,2011-01-03,08:00:00,Clear/Partly Cloudy,5.74,50.0,19.0012,154,Spring,2011,January,0,Monday,1,1349
55,2011-01-03,09:00:00,Clear/Partly Cloudy,6.5600000000000005,43.0,26.0027,88,Spring,2011,January,0,Monday,1,1349
56,2011-01-03,10:00:00,Clear/Partly Cloudy,7.38,43.0,16.997899999999998,44,Spring,2011,January,0,Monday,1,1349
57,2011-01-03,11:00:00,Clear/Partly Cloudy,8.200000000000001,40.0,22.0028,51,Spring,2011,January,0,Monday,1,1349
58,2011-01-03,12:00:00,Clear/Partly Cloudy,9.02,35.0,19.999499999999998,61,Spring,2011,January,0,Monday,1,1349
59,2011-01-03,13:00:00,Clear/Partly Cloudy,9.84,35.0,19.0012,61,Spring,2011,January,0,Monday,1,1349
60,2011-01-03,14:00:00,Clear/Partly Cloudy,10.66,30.0,19.0012,77,Spring,2011,January,0,Monday,1,1349
61,2011-01-03,15:00:00,Clear/Partly Cloudy,10.66,30.0,16.997899999999998,72,Spring,2011,January,0,Monday,1,1349
62,2011-01-03,16:00:00,Clear/Partly Cloudy,10.66,30.0,16.997899999999998,76,Spring,2011,January,0,Monday,1,1349
63,2011-01-03,17:00:00,Clear/Partly Cloudy,9.84,30.0,15.001299999999999,157,Spring,2011,January,0,Monday,1,1349
64,2011-01-03,18:00:00,Clear/Partly Cloudy,9.84,32.0,7.0015,157,Spring,2011,January,0,Monday,1,1349
65,2011-01-03,19:00:00,Clear/Partly Cloudy,8.200000000000001,47.0,0.0,110,Spring,2011,January,0,Monday,1,1349
66,2011-01-03,20:00:00,Clear/Partly Cloudy,8.200000000000001,47.0,7.0015,52,Spring,2011,January,0,Monday,1,1349
67,2011-01-03,21:00:00,Clear/Partly Cloudy,7.38,64.0,8.9981,52,Spring,2011,January,0,Monday,1,1349
68,2011-01-03,22:00:00,Clear/Partly Cloudy,5.74,69.0,8.9981,20,Spring,2011,January,0,Monday,1,1349
69,2011-01-03,23:00:00,Clear/Partly Cloudy,7.38,55.00000000000001,7.0015,12,Spring,2011,January,0,Monday,1,1349
70,2011-01-04,00:00:00,Clear/Partly Cloudy,6.5600000000000005,55.00000000000001,7.0015,5,Spring,2011,January,0,Tuesday,1,1562
71,2011-01-04,01:00:00,Clear/Partly Cloudy,6.5600000000000005,59.0,7.0015,2,Spring,2011,January,0,Tuesday,1,1562
72,2011-01-04,02:00:00,Clear/Partly Cloudy,5.74,63.0,8.9981,1,Spring,2011,January,0,Tuesday,1,1562
73,2011-01-04,04:00:00,Clear/Partly Cloudy,5.74,63.0,6.0032,2,Spring,2011,January,0,Tuesday,1,1562
74,2011-01-04,05:00:00,Clear/Partly Cloudy,4.92,68.0,7.0015,4,Spring,2011,January,0,Tuesday,1,1562
75,2011-01-04,06:00:00,Clear/Partly Cloudy,4.92,74.0,7.0015,36,Spring,2011,January,0,Tuesday,1,1562
76,2011-01-04,07:00:00,Clear/Partly Cloudy,4.92,74.0,8.9981,94,Spring,2011,January,0,Tuesday,1,1562
77,2011-01-04,08:00:00,Clear/Partly Cloudy,5.74,69.0,11.0014,179,Spring,2011,January,0,Tuesday,1,1562
78,2011-01-04,09:00:00,Clear/Partly Cloudy,6.5600000000000005,64.0,15.001299999999999,100,Spring,2011,January,0,Tuesday,1,1562
79,2011-01-04,10:00:00,Cloudy,6.5600000000000005,69.0,22.0028,42,Spring,2011,January,0,Tuesday,1,1562
80,2011-01-04,11:00:00,Clear/Partly Cloudy,9.02,51.0,19.999499999999998,57,Spring,2011,January,0,Tuesday,1,1562
81,2011-01-04,12:00:00,Clear/Partly Cloudy,9.02,51.0,11.0014,78,Spring,2011,January,0,Tuesday,1,1562
82,2011-01-04,13:00:00,Clear/Partly Cloudy,9.84,56.00000000000001,12.998000000000001,97,Spring,2011,January,0,Tuesday,1,1562
83,2011-01-04,14:00:00,Clear/Partly Cloudy,10.66,52.0,15.001299999999999,63,Spring,2011,January,0,Tuesday,1,1562
84,2011-01-04,15:00:00,Clear/Partly Cloudy,11.48,52.0,16.997899999999998,65,Spring,2011,January,0,Tuesday,1,1562
85,2011-01-04,16:00:00,Clear/Partly Cloudy,12.299999999999999,49.0,16.997899999999998,83,Spring,2011,January,0,Tuesday,1,1562
86,2011-01-04,17:00:00,Clear/Partly Cloudy,11.48,48.0,15.001299999999999,212,Spring,2011,January,0,Tuesday,1,1562
87,2011-01-04,18:00:00,Clear/Partly Cloudy,10.66,48.0,12.998000000000001,182,Spring,2011,January,0,Tuesday,1,1562
88,2011-01-04,19:00:00,Clear/Partly Cloudy,9.84,48.0,7.0015,112,Spring,2011,January,0,Tuesday,1,1562
89,2011-01-04,20:00:00,Clear/Partly Cloudy,9.84,48.0,7.0015,54,Spring,2011,January,0,Tuesday,1,1562
90,2011-01-04,21:00:00,Clear/Partly Cloudy,9.02,64.0,0.0,48,Spring,2011,January,0,Tuesday,1,1562
91,2011-01-04,22:00:00,Clear/Partly Cloudy,9.02,64.0,6.0032,35,Spring,2011,January,0,Tuesday,1,1562
92,2011-01-04,23:00:00,Clear/Partly Cloudy,8.200000000000001,69.0,6.0032,11,Spring,2011,January,0,Tuesday,1,1562
93,2011-01-05,00:00:00,Clear/Partly Cloudy,8.200000000000001,64.0,0.0,6,Spring,2011,January,0,Wednesday,1,1600
94,2011-01-05,01:00:00,Clear/Partly Cloudy,6.5600000000000005,74.0,6.0032,6,Spring,2011,January,0,Wednesday,1,1600
95,2011-01-05,02:00:00,Clear/Partly Cloudy,6.5600000000000005,74.0,6.0032,2,Spring,2011,January,0,Wednesday,1,1600
96,2011-01-05,04:00:00,Clear/Partly Cloudy,9.84,48.0,15.001299999999999,2,Spring,2011,January,0,Wednesday,1,1600
97,2011-01-05,05:00:00,Clear/Partly Cloudy,9.02,47.0,11.0014,3,Spring,2011,January,0,Wednesday,1,1600
98,2011-01-05,06:00:00,Clear/Partly Cloudy,8.200000000000001,47.0,15.001299999999999,33,Spring,2011,January,0,Wednesday,1,1600
99,2011-01-05,07:00:00,Clear/Partly Cloudy,7.38,43.0,12.998000000000001,88,Spring,2011,January,0,Wednesday,1,1600
100,2011-01-05,08:00:00,Clear/Partly Cloudy,8.200000000000001,40.0,19.999499999999998,195,Spring,2011,January,0,Wednesday,1,1600
101,2011-01-05,09:00:00,Clear/Partly Cloudy,9.02,37.0,22.0028,115,Spring,2011,January,0,Wednesday,1,1600
102,2011-01-05,10:00:00,Clear/Partly Cloudy,9.02,37.0,22.0028,57,Spring,2011,January,0,Wednesday,1,1600
103,2011-01-05,11:00:00,Clear/Partly Cloudy,10.66,33.0,22.0028,46,Spring,2011,January,0,Wednesday,1,1600
104,2011-01-05,12:00:00,Clear/Partly Cloudy,10.66,33.0,22.0028,79,Spring,2011,January,0,Wednesday,1,1600
105,2011-01-05,13:00:00,Clear/Partly Cloudy,11.48,30.0,19.999499999999998,71,Spring,2011,January,0,Wednesday,1,1600
106,2011-01-05,14:00:00,Clear/Partly Cloudy,12.299999999999999,28.000000000000004,12.998000000000001,62,Spring,2011,January,0,Wednesday,1,1600
107,2011-01-05,15:00:00,Clear/Partly Cloudy,12.299999999999999,28.000000000000004,12.998000000000001,62,Spring,2011,January,0,Wednesday,1,1600
108,2011-01-05,16:00:00,Clear/Partly Cloudy,12.299999999999999,28.000000000000004,6.0032,89,Spring,2011,January,0,Wednesday,1,1600
109,2011-01-05,17:00:00,Clear/Partly Cloudy,9.84,38.0,12.998000000000001,190,Spring,2011,January,0,Wednesday,1,1600
110,2011-01-05,18:00:00,Clear/Partly Cloudy,9.84,38.0,8.9981,169,Spring,2011,January,0,Wednesday,1,1600
111,2011-01-05,19:00:00,Clear/Partly Cloudy,9.84,38.0,7.0015,132,Spring,2011,January,0,Wednesday,1,1600
112,2011-01-05,20:00:00,Clear/Partly Cloudy,9.02,47.0,11.0014,89,Spring,2011,January,0,Wednesday,1,1600
113,2011-01-05,21:00:00,Clear/Partly Cloudy,8.200000000000001,51.0,12.998000000000001,43,Spring,2011,January,0,Wednesday,1,1600
114,2011-01-05,22:00:00,Clear/Partly Cloudy,7.38,55.00000000000001,8.9981,42,Spring,2011,January,0,Wednesday,1,1600
115,2011-01-05,23:00:00,Clear/Partly Cloudy,8.200000000000001,47.0,0.0,19,Spring,2011,January,0,Wednesday,1,1600
116,2011-01-06,00:00:00,Clear/Partly Cloudy,7.38,55.00000000000001,0.0,11,Spring,2011,January,0,Thursday,1,1606
117,2011-01-06,01:00:00,Clear/Partly Cloudy,6.5600000000000005,64.0,0.0,4,Spring,2011,January,0,Thursday,1,1606
118,2011-01-06,02:00:00,Clear/Partly Cloudy,6.5600000000000005,64.0,0.0,2,Spring,2011,January,0,Thursday,1,1606
119,2011-01-06,04:00:00,Cloudy,6.5600000000000005,64.0,6.0032,1,Spring,2011,January,0,Thursday,1,1606
120,2011-01-06,05:00:00,Cloudy,5.74,69.0,6.0032,4,Spring,2011,January,0,Thursday,1,1606
121,2011-01-06,06:00:00,Cloudy,5.74,63.0,7.0015,36,Spring,2011,January,0,Thursday,1,1606
122,2011-01-06,07:00:00,Cloudy,6.5600000000000005,59.0,0.0,95,Spring,2011,January,0,Thursday,1,1606
123,2011-01-06,08:00:00,Clear/Partly Cloudy,6.5600000000000005,59.0,0.0,219,Spring,2011,January,0,Thursday,1,1606
124,2011-01-06,09:00:00,Cloudy,7.38,51.0,0.0,122,Spring,2011,January,0,Thursday,1,1606
125,2011-01-06,10:00:00,Clear/Partly Cloudy,8.200000000000001,47.0,0.0,45,Spring,2011,January,0,Thursday,1,1606
126,2011-01-06,11:00:00,Clear/Partly Cloudy,9.02,44.0,6.0032,59,Spring,2011,January,0,Thursday,1,1606
127,2011-01-06,12:00:00,Clear/Partly Cloudy,10.66,35.0,0.0,84,Spring,2011,January,0,Thursday,1,1606
128,2011-01-06,13:00:00,Clear/Partly Cloudy,10.66,35.0,7.0015,67,Spring,2011,January,0,Thursday,1,1606
129,2011-01-06,14:00:00,Clear/Partly Cloudy,11.48,36.0,11.0014,70,Spring,2011,January,0,Thursday,1,1606
130,2011-01-06,15:00:00,Clear/Partly Cloudy,11.48,36.0,0.0,62,Spring,2011,January,0,Thursday,1,1606
131,2011-01-06,16:00:00,Clear/Partly Cloudy,10.66,38.0,11.0014,86,Spring,2011,January,0,Thursday,1,1606
132,2011-01-06,17:00:00,Clear/Partly Cloudy,9.02,51.0,11.0014,172,Spring,2011,January,0,Thursday,1,1606
133,2011-01-06,18:00:00,Clear/Partly Cloudy,9.02,51.0,8.9981,163,Spring,2011,January,0,Thursday,1,1606
134,2011-01-06,19:00:00,Clear/Partly Cloudy,9.02,55.00000000000001,6.0032,112,Spring,2011,January,0,Thursday,1,1606
135,2011-01-06,20:00:00,Clear/Partly Cloudy,8.200000000000001,51.0,11.0014,69,Spring,2011,January,0,Thursday,1,1606
136,2011-01-06,21:00:00,Cloudy,9.02,55.00000000000001,15.001299999999999,48,Spring,2011,January,0,Thursday,1,1606
137,2011-01-06,22:00:00,Cloudy,9.02,51.0,19.0012,52,Spring,2011,January,0,Thursday,1,1606
138,2011-01-06,23:00:00,Cloudy,8.200000000000001,59.0,12.998000000000001,23,Spring,2011,January,0,Thursday,1,1606
139,2011-01-07,00:00:00,Cloudy,8.200000000000001,64.0,12.998000000000001,17,Spring,2011,January,0,Friday,1,1510
140,2011-01-07,01:00:00,Cloudy,8.200000000000001,69.0,15.001299999999999,7,Spring,2011,January,0,Friday,1,1510
141,2011-01-07,02:00:00,Cloudy,8.200000000000001,69.0,15.001299999999999,1,Spring,2011,January,0,Friday,1,1510
142,2011-01-07,04:00:00,Cloudy,8.200000000000001,69.0,8.9981,1,Spring,2011,January,0,Friday,1,1510
143,2011-01-07,05:00:00,Light Snow/Rain,9.02,55.00000000000001,0.0,5,Spring,2011,January,0,Friday,1,1510
144,2011-01-07,06:00:00,Cloudy,8.200000000000001,69.0,0.0,34,Spring,2011,January,0,Friday,1,1510
145,2011-01-07,07:00:00,Clear/Partly Cloudy,8.200000000000001,69.0,8.9981,84,Spring,2011,January,0,Friday,1,1510
146,2011-01-07,08:00:00,Clear/Partly Cloudy,8.200000000000001,51.0,16.997899999999998,210,Spring,2011,January,0,Friday,1,1510
147,2011-01-07,09:00:00,Clear/Partly Cloudy,8.200000000000001,47.0,19.999499999999998,134,Spring,2011,January,0,Friday,1,1510
148,2011-01-07,10:00:00,Clear/Partly Cloudy,9.02,37.0,22.0028,63,Spring,2011,January,0,Friday,1,1510
149,2011-01-07,11:00:00,Cloudy,8.200000000000001,40.0,15.001299999999999,67,Spring,2011,January,0,Friday,1,1510
150,2011-01-07,12:00:00,Cloudy,8.200000000000001,37.0,16.997899999999998,59,Spring,2011,January,0,Friday,1,1510
151,2011-01-07,13:00:00,Cloudy,8.200000000000001,37.0,19.0012,73,Spring,2011,January,0,Friday,1,1510
152,2011-01-07,14:00:00,Cloudy,8.200000000000001,40.0,16.997899999999998,50,Spring,2011,January,0,Friday,1,1510
153,2011-01-07,15:00:00,Cloudy,8.200000000000001,37.0,11.0014,72,Spring,2011,January,0,Friday,1,1510
154,2011-01-07,16:00:00,Cloudy,8.200000000000001,37.0,11.0014,87,Spring,2011,January,0,Friday,1,1510
155,2011-01-07,17:00:00,Cloudy,8.200000000000001,37.0,0.0,187,Spring,2011,January,0,Friday,1,1510
156,2011-01-07,18:00:00,Clear/Partly Cloudy,8.200000000000001,40.0,6.0032,123,Spring,2011,January,0,Friday,1,1510
157,2011-01-07,19:00:00,Clear/Partly Cloudy,6.5600000000000005,55.00000000000001,6.0032,95,Spring,2011,January,0,Friday,1,1510
158,2011-01-07,20:00:00,Clear/Partly Cloudy,7.38,47.0,7.0015,51,Spring,2011,January,0,Friday,1,1510
159,2011-01-07,21:00:00,Clear/Partly Cloudy,7.38,47.0,8.9981,39,Spring,2011,January,0,Friday,1,1510
160,2011-01-07,22:00:00,Cloudy,7.38,43.0,11.0014,36,Spring,2011,January,0,Friday,1,1510
161,2011-01-07,23:00:00,Cloudy,7.38,51.0,11.0014,15,Spring,2011,January,0,Friday,1,1510
162,2011-01-08,00:00:00,Cloudy,7.38,51.0,11.0014,25,Spring,2011,January,0,Saturday,0,959
163,2011-01-08,01:00:00,Cloudy,7.38,55.00000000000001,6.0032,16,Spring,2011,January,0,Saturday,0,959
164,2011-01-08,02:00:00,Cloudy,7.38,55.00000000000001,0.0,16,Spring,2011,January,0,Saturday,0,959
165,2011-01-08,03:00:00,Light Snow/Rain,7.38,55.00000000000001,11.0014,7,Spring,2011,January,0,Saturday,0,959
166,2011-01-08,04:00:00,Light Snow/Rain,7.38,55.00000000000001,11.0014,1,Spring,2011,January,0,Saturday,0,959
167,2011-01-08,05:00:00,Cloudy,6.5600000000000005,74.0,11.0014,5,Spring,2011,January,0,Saturday,0,959
168,2011-01-08,06:00:00,Cloudy,6.5600000000000005,74.0,11.0014,2,Spring,2011,January,0,Saturday,0,959
169,2011-01-08,07:00:00,Cloudy,6.5600000000000005,74.0,7.0015,9,Spring,2011,January,0,Saturday,0,959
170,2011-01-08,08:00:00,Light Snow/Rain,6.5600000000000005,93.0,7.0015,15,Spring,2011,January,0,Saturday,0,959
171,2011-01-08,09:00:00,Light Snow/Rain,6.5600000000000005,93.0,7.0015,20,Spring,2011,January,0,Saturday,0,959
172,2011-01-08,10:00:00,Cloudy,7.38,80.0,11.0014,61,Spring,2011,January,0,Saturday,0,959
173,2011-01-08,11:00:00,Cloudy,8.200000000000001,69.0,26.0027,62,Spring,2011,January,0,Saturday,0,959
174,2011-01-08,12:00:00,Cloudy,8.200000000000001,59.0,23.9994,98,Spring,2011,January,0,Saturday,0,959
175,2011-01-08,13:00:00,Clear/Partly Cloudy,8.200000000000001,44.0,22.0028,102,Spring,2011,January,0,Saturday,0,959
176,2011-01-08,14:00:00,Clear/Partly Cloudy,8.200000000000001,32.0,32.9975,95,Spring,2011,January,0,Saturday,0,959
177,2011-01-08,15:00:00,Clear/Partly Cloudy,8.200000000000001,32.0,30.002599999999997,74,Spring,2011,January,0,Saturday,0,959
178,2011-01-08,16:00:00,Clear/Partly Cloudy,7.38,28.999999999999996,30.002599999999997,76,Spring,2011,January,0,Saturday,0,959
179,2011-01-08,17:00:00,Clear/Partly Cloudy,6.5600000000000005,37.0,36.9974,69,Spring,2011,January,0,Saturday,0,959
180,2011-01-08,18:00:00,Clear/Partly Cloudy,5.74,39.0,19.999499999999998,55,Spring,2011,January,0,Saturday,0,959
181,2011-01-08,19:00:00,Clear/Partly Cloudy,5.74,36.0,16.997899999999998,30,Spring,2011,January,0,Saturday,0,959
182,2011-01-08,20:00:00,Clear/Partly Cloudy,4.92,36.0,16.997899999999998,28,Spring,2011,January,0,Saturday,0,959
183,2011-01-08,21:00:00,Clear/Partly Cloudy,4.92,39.0,23.9994,37,Spring,2011,January,0,Saturday,0,959
184,2011-01-08,22:00:00,Clear/Partly Cloudy,4.92,36.0,26.0027,34,Spring,2011,January,0,Saturday,0,959
185,2011-01-08,23:00:00,Clear/Partly Cloudy,4.1000000000000005,39.0,30.002599999999997,22,Spring,2011,January,0,Saturday,0,959
186,2011-01-09,00:00:00,Clear/Partly Cloudy,4.1000000000000005,42.0,26.0027,25,Spring,2011,January,0,Sunday,0,822
187,2011-01-09,01:00:00,Clear/Partly Cloudy,4.1000000000000005,42.0,31.0009,12,Spring,2011,January,0,Sunday,0,822
188,2011-01-09,02:00:00,Clear/Partly Cloudy,4.1000000000000005,46.0,31.0009,11,Spring,2011,January,0,Sunday,0,822
189,2011-01-09,03:00:00,Clear/Partly Cloudy,4.1000000000000005,46.0,27.999299999999998,4,Spring,2011,January,0,Sunday,0,822
190,2011-01-09,04:00:00,Clear/Partly Cloudy,3.2800000000000002,53.0,12.998000000000001,1,Spring,2011,January,0,Sunday,0,822
191,2011-01-09,05:00:00,Clear/Partly Cloudy,3.2800000000000002,53.0,12.998000000000001,1,Spring,2011,January,0,Sunday,0,822
192,2011-01-09,06:00:00,Clear/Partly Cloudy,4.1000000000000005,49.0,19.0012,1,Spring,2011,January,0,Sunday,0,822
193,2011-01-09,07:00:00,Clear/Partly Cloudy,3.2800000000000002,53.0,12.998000000000001,6,Spring,2011,January,0,Sunday,0,822
194,2011-01-09,08:00:00,Clear/Partly Cloudy,4.1000000000000005,49.0,19.0012,10,Spring,2011,January,0,Sunday,0,822
195,2011-01-09,09:00:00,Clear/Partly Cloudy,4.92,46.0,35.0008,19,Spring,2011,January,0,Sunday,0,822
196,2011-01-09,10:00:00,Clear/Partly Cloudy,5.74,43.0,26.0027,49,Spring,2011,January,0,Sunday,0,822
197,2011-01-09,11:00:00,Clear/Partly Cloudy,6.5600000000000005,40.0,35.0008,49,Spring,2011,January,0,Sunday,0,822
198,2011-01-09,12:00:00,Clear/Partly Cloudy,7.38,37.0,30.002599999999997,83,Spring,2011,January,0,Sunday,0,822
199,2011-01-09,13:00:00,Clear/Partly Cloudy,8.200000000000001,34.0,30.002599999999997,75,Spring,2011,January,0,Sunday,0,822
200,2011-01-09,14:00:00,Clear/Partly Cloudy,9.02,32.0,31.0009,72,Spring,2011,January,0,Sunday,0,822
201,2011-01-09,15:00:00,Clear/Partly Cloudy,9.02,35.0,23.9994,82,Spring,2011,January,0,Sunday,0,822
202,2011-01-09,16:00:00,Clear/Partly Cloudy,8.200000000000001,34.0,30.002599999999997,92,Spring,2011,January,0,Sunday,0,822
203,2011-01-09,17:00:00,Clear/Partly Cloudy,7.38,37.0,26.0027,62,Spring,2011,January,0,Sunday,0,822
204,2011-01-09,18:00:00,Clear/Partly Cloudy,6.5600000000000005,40.0,22.0028,48,Spring,2011,January,0,Sunday,0,822
205,2011-01-09,19:00:00,Clear/Partly Cloudy,6.5600000000000005,43.0,22.0028,41,Spring,2011,January,0,Sunday,0,822
206,2011-01-09,20:00:00,Clear/Partly Cloudy,5.74,46.0,16.997899999999998,38,Spring,2011,January,0,Sunday,0,822
207,2011-01-09,21:00:00,Clear/Partly Cloudy,5.74,46.0,27.999299999999998,20,Spring,2011,January,0,Sunday,0,822
208,2011-01-09,22:00:00,Clear/Partly Cloudy,5.74,46.0,19.999499999999998,15,Spring,2011,January,0,Sunday,0,822
209,2011-01-09,23:00:00,Clear/Partly Cloudy,4.92,50.0,12.998000000000001,6,Spring,2011,January,0,Sunday,0,822
210,2011-01-10,00:00:00,Clear/Partly Cloudy,4.92,50.0,19.0012,5,Spring,2011,January,0,Monday,1,1321
211,2011-01-10,01:00:00,Clear/Partly Cloudy,4.92,50.0,19.0012,1,Spring,2011,January,0,Monday,1,1321
212,2011-01-10,02:00:00,Clear/Partly Cloudy,4.92,50.0,15.001299999999999,3,Spring,2011,January,0,Monday,1,1321
213,2011-01-10,03:00:00,Clear/Partly Cloudy,4.92,50.0,15.001299999999999,1,Spring,2011,January,0,Monday,1,1321
214,2011-01-10,04:00:00,Clear/Partly Cloudy,4.1000000000000005,54.0,8.9981,3,Spring,2011,January,0,Monday,1,1321
